n_games,playerScoreProRound,playerTotalScore,PlayedTimeBeforeDeath,TotalPlayedTimeBeforeDeath,MeanScore,DeviationFromScore,TimeOverScore,TotalNumberofDeath,TimeOverDeath,Epsilon
1,0,0,3.014657735824585,3.014657735824585,0.0,,3.014657735824585,1,3.014657735824585,80
2,0,0,0.9962842464447021,4.010941982269287,0.0,0.0,4.010941982269287,2,2.0054709911346436,79
3,1,1,2.193057060241699,6.203999042510986,0.3333333333333333,0.0,6.203999042510986,3,2.0679996808369956,78
4,0,1,1.4250764846801758,7.629075527191162,0.25,0.22222222222222224,7.629075527191162,4,1.9072688817977905,77
5,1,2,2.7592086791992188,10.38828420639038,0.4,0.25,5.19414210319519,5,2.0776568412780763,76
6,0,2,0.8280959129333496,11.21638011932373,0.3333333333333333,0.56,5.608190059661865,6,1.869396686553955,75
7,0,2,1.3705365657806396,12.58691668510437,0.2857142857142857,0.6666666666666666,6.293458342552185,7,1.79813095501491,74
8,1,3,1.6588153839111328,14.245732069015503,0.375,0.6938775510204082,4.748577356338501,8,1.7807165086269379,73
9,0,3,1.1645057201385498,15.410237789154053,0.3333333333333333,0.984375,5.136745929718018,9,1.7122486432393391,72
10,0,3,2.0291028022766113,17.439340591430664,0.3,1.1358024691358024,5.813113530476888,10,1.7439340591430663,71
11,0,3,1.134969711303711,18.574310302734375,0.2727272727272727,1.2099999999999997,6.191436767578125,11,1.6885736638849431,70
12,0,3,1.396385908126831,19.970696210861206,0.25,1.2396694214876034,6.656898736953735,12,1.6642246842384338,69
13,1,4,1.136643648147583,21.10733985900879,0.3076923076923077,1.2430555555555556,5.276834964752197,13,1.6236415276160607,68
14,0,4,3.3539745807647705,24.46131443977356,0.2857142857142857,1.4556213017751476,6.11532860994339,14,1.7472367456981115,67
15,0,4,1.852341890335083,26.313656330108643,0.26666666666666666,1.5969387755102045,6.578414082527161,15,1.754243755340576,66
16,0,4,2.8084137439727783,29.12207007408142,0.25,1.688888888888889,7.280517518520355,16,1.8201293796300888,65
17,1,5,2.7637481689453125,31.885818243026733,0.29411764705882354,1.74609375,6.377163648605347,17,1.8756363672368668,64
18,0,5,1.284790277481079,33.17060852050781,0.2777777777777778,2.006920415224913,6.634121704101562,18,1.8428115844726562,63
19,1,6,1.1155920028686523,34.286200523376465,0.3157894736842105,2.2006172839506175,5.714366753896077,19,1.8045368696513928,62
20,0,6,0.3127291202545166,34.59892964363098,0.3,2.6204986149584486,5.766488273938497,20,1.7299464821815491,61
21,0,6,1.460191011428833,36.059120655059814,0.2857142857142857,2.9475000000000002,6.009853442509969,21,1.717100983574277,60
22,0,6,0.885934591293335,36.94505524635315,0.2727272727272727,3.2018140589569164,6.157509207725525,22,1.6793206930160522,59
